#,Negocio,Rubro,Zona,Score,Prioridad,Estado,Teléfono,Email,Instagram,Fecha contacto,Fecha follow-up,Web
42,Casa Frottis,Bazares,Barrio Reus,40,Media,Contactado,097 409 440,,,2026-07-17,,casafrottis.uy
43,Casa Jorge Mayorista,Bazares,Villa Muñoz,40,Media,Contactado,2200 7720,ventas@casajorge.com.uy,,2026-07-10,2026-07-13,casajorge.com.uy
44,Tiendas Montevideo,Bazares,Múltiples locales,40,Media,Contactado,092 189 253,comentarios@tiendasmontevideo.com,,2026-07-10,2026-07-13,tiendasmontevideo.com.uy
45,MVD Clínica Odontológica,Clínicas,Parque Rodó y Las Piedras,40,Media,Contactado,092 271 227,,,2026-07-17,,clinicaodontologicamontevideo.com.uy
46,Punto Odontológico,Clínicas,"Cordón, Unión y Parque Rodó",40,Media,Contactado,2400 2080,info@puntoodontologico.com,,2026-07-10,2026-07-13,puntoodontologico.com
47,Tu Zona Spa,Clínicas,Montevideo,40,Media,Contactado,,msandrapinna@hotmail.com,,2026-07-18,2026-07-22,tuzonaspa.uy
48,Diego Centro Mayorista,Bazares,Villa Muñoz,35,Media,Contactado,098 701 315,ventasweb@diego.com.uy,,2026-07-07,,diego.com.uy
49,be-eme,Bazares,Montevideo,35,Media,Contactado,095 126 307,info@be-eme.com,,2026-07-07,,be-eme.com
50,Natural Beauty,Clínicas,Tres Cruces,35,Media,Contactado,096 669 250,adriananaturalbeauty@gmail.com,,2026-07-10,2026-07-12,naturalbeauty.com.uy
51,Bazar Grupo Dos,Bazares,Montevideo,30,Media,Contactado,,ventas@grupodos.com.uy,,2026-07-07,,grupodos.com.uy
52,Bienestar Dental,Clínicas,Montevideo,30,Media,Contactado,098 140 615,,,2026-07-17,,bienestardentaluy.com
53,Syncros Fisioterapia,Clínicas,Montevideo y Punta del Este,30,Media,Contactado,095 133 585,hola@syncros.com.uy,@syncros_centro,2026-07-10,2026-07-13,syncros.com.uy
54,ViaAqua Spa,Clínicas,Montevideo,30,Media,Contactado,,comercial@viaaqua.com,,2026-07-07,,viaaqua.com/spa
55,Bazar Casa Martinez,Bazares,Montevideo,25,Baja,Contactado,,casamartinez09@hotmail.com,,2026-07-18,2026-07-22,bazarcasamartinez.com.uy
56,Big Party,Bazares,Montevideo,25,Baja,Contactado,,bigpartycotillonventas@gmail.com,,2026-07-18,2026-07-22,bigparty.com.uy
57,Bethel Spa,Clínicas,Varias zonas,25,Baja,Contactado,,bethel@bethelspa.com,,2026-07-18,2026-07-22,bethelspa.com
58,Del Prado Odontología Integral,Clínicas,Prado,25,Baja,Contactado,2309 7106,info@odontologiadelprado.com,,2026-07-18,2026-07-22,odontologiadelprado.com
59,Spa Cordón,Clínicas,Cordón,25,Baja,Contactado,,relaxtotal@spacordon.com.uy,,2026-07-18,2026-07-22,spacordon.com.uy
60,Casajardín,Bazares,Unión y Paso Molino,20,Baja,Contactado,099 958 088,centro@casajardin.com.uy,,2026-07-10,2026-07-12,casajardin.com.uy
61,DECOHogar Bazar,Bazares,Varias zonas,20,Baja,Respondió,2917 1334,virginia@decohogar.com.uy (supervisora),@decohogarbazar,2026-07-10,2026-07-21,decohogar.com.uy
62,Bazar Los Tres,Bazares,Montevideo,5,Baja,Pendiente,092 795 074,,,,,bazarlostres.com.uy
63,VeoVeo Juguetería,Bazares,6 locales,5,Baja,Contactado,097 822 939,hola@veoveo.com.uy,,2026-07-10,2026-07-12,veoveo.com.uy
64,Escaramuza Libros y Café,Restaurantes,Cordón,5,Baja,Contactado,091 665 568,escaramuza@escaramuza.com.uy,,2026-07-10,2026-07-12,escaramuza.com.uy
